r:NaN g:NaN b:NaN
r:1.0 g:1.0 b:1.0
r:1.0 g:1.0 b:1.0
r:0.90909094 g:0.9 b:0.9574468
r:0.95454544 g:0.85 b:0.9574468
r:0.90909094 g:0.95 b:0.9574468
r:0.8636364 g:0.9 b:0.9574468
r:0.90909094 g:0.9 b:0.9574468
r:0.90909094 g:0.9 b:0.9574468
r:0.90909094 g:0.85 b:0.9574468
r:0.95454544 g:0.95 b:0.9787234
r:0.90909094 g:0.9 b:0.9361702
r:0.90909094 g:0.95 b:0.9574468
r:0.90909094 g:0.9 b:0.9574468
r:0.8636364 g:0.9 b:0.9787234
r:0.90909094 g:0.95 b:0.9787234
r:0.90909094 g:0.85 b:0.9361702
r:0.8636364 g:0.85 b:0.9574468
r:0.90909094 g:0.9 b:0.9574468
r:0.90909094 g:0.9 b:0.9361702
r:0.90909094 g:0.85 b:0.9361702
r:0.95454544 g:0.95 b:0.9787234
r:0.90909094 g:0.9 b:0.9574468
r:0.8636364 g:0.9 b:0.9361702
r:0.8636364 g:0.9 b:0.9574468
r:0.90909094 g:0.85 b:0.9574468
r:0.95454544 g:0.9 b:0.9361702
r:0.90909094 g:0.95 b:0.9361702
r:0.95454544 g:0.9 b:0.9787234
r:1.0 g:1.0 b:1.0
r:1.0 g:1.0 b:1.0
r:0.97590363 g:1.0 b:0.92727274
r:1.0 g:0.9195402 b:1.0
r:0.97590363 g:0.908046 b:1.0
r:0.24096386 g:0.20689653 b:0.26470587
r:0.32530123 g:0.26436785 b:0.37058824
r:1.0 g:1.0 b:0.97058827
r:0.24418604 g:0.19999999 b:0.26470587
r:0.5232558 g:0.45555556 b:0.61176467
r:1.0 g:1.0 b:0.97058827
r:0.45348838 g:0.37777779 b:0.45294118
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.27058822
r:0.22093023 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.27058822
r:0.22093023 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.24418604 g:0.2111111 b:0.27058822
r:0.24418604 g:0.19999999 b:0.27058822
r:0.23255815 g:0.19999999 b:0.2588235
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.24418604 g:0.2111111 b:0.27058822
r:0.23255815 g:0.19999999 b:0.26470587
r:0.24418604 g:0.22222221 b:0.27647057
r:0.23255815 g:0.2111111 b:0.27058822
r:0.24418604 g:0.18888888 b:0.26470587
r:0.23255815 g:0.18888888 b:0.2588235
r:0.22093023 g:0.18888888 b:0.26470587
r:0.24418604 g:0.19999999 b:0.28823528
r:0.83720934 g:0.7111111 b:0.95882356
r:0.22093023 g:0.19999999 b:0.26470587
r:0.24418604 g:0.19999999 b:0.27058822
r:0.24418604 g:0.22222221 b:0.26470587
r:0.23255815 g:0.19999999 b:0.26470587
r:0.23255815 g:0.2111111 b:0.26470587
r:0.22093023 g:0.19999999 b:0.26470587
r:0.23255815 g:0.18888888 b:0.2588235
r:0.24418604 g:0.18888888 b:0.26470587
r:0.22093023 g:0.19999999 b:0.26470587
r:0.43023255 g:0.37777779 b:0.517647
r:1.0 g:1.0 b:1.0
r:0.95555556 g:0.96703297 b:0.91758245
r:0.95555556 g:0.95604396 b:0.90659344
r:0.8777778 g:0.8791209 b:0.8516484
r:0.45555556 g:0.4065934 b:0.5274725
r:0.22222222 g:0.2087912 b:0.24725275
r:0.23333333 g:0.2087912 b:0.25274724
r:0.23333333 g:0.2087912 b:0.25274724
r:0.22222222 g:0.2087912 b:0.24725275
r:0.23333333 g:0.2087912 b:0.25824174
r:0.22222222 g:0.19780219 b:0.24725275
r:0.21111111 g:0.19780219 b:0.25274724
r:0.22222222 g:0.19780219 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
r:0.23333333 g:0.2087912 b:0.24725275
r:0.23333333 g:0.19780219 b:0.25274724
r:0.21111111 g:0.18681318 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24175824
r:0.22222222 g:0.19780219 b:0.24725275
r:0.22222222 g:0.2087912 b:0.25824174
r:0.23333333 g:0.19780219 b:0.25824174
r:0.23333333 g:0.2197802 b:0.25824174
r:0.22222222 g:0.18681318 b:0.24725275
r:0.23333333 g:0.19780219 b:0.24725275
r:0.21111111 g:0.19780219 b:0.25274724
r:0.22222222 g:0.18681318 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
r:0.22222222 g:0.2087912 b:0.25274724
r:0.23333333 g:0.19780219 b:0.25274724
r:0.22222222 g:0.19780219 b:0.25274724
r:0.22222222 g:0.19780219 b:0.24725275
r:0.21111111 g:0.18681318 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24175824
r:0.22222222 g:0.19780219 b:0.24175824
r:0.23333333 g:0.2197802 b:0.25274724
r:0.23333333 g:0.2197802 b:0.25274724
r:0.23333333 g:0.2087912 b:0.25274724
r:0.23333333 g:0.2197802 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
r:0.22222222 g:0.18681318 b:0.24725275
r:0.22222222 g:0.18681318 b:0.25274724
r:0.21111111 g:0.18681318 b:0.24175824
r:0.22222222 g:0.19780219 b:0.24725275
r:0.23333333 g:0.2087912 b:0.25274724
r:0.22222222 g:0.19780219 b:0.24725275
r:0.23333333 g:0.2087912 b:0.24725275
r:0.21111111 g:0.18681318 b:0.23626374
r:0.22222222 g:0.18681318 b:0.24175824
r:0.22222222 g:0.19780219 b:0.23626374
r:0.22222222 g:0.19780219 b:0.24175824
r:0.22222222 g:0.19780219 b:0.24175824
r:0.23333333 g:0.2087912 b:0.25274724
r:0.24444444 g:0.2087912 b:0.25824174
r:0.23333333 g:0.2087912 b:0.25274724
r:0.22222222 g:0.19780219 b:0.24175824
r:0.23333333 g:0.19780219 b:0.25274724
r:0.23333333 g:0.19780219 b:0.25274724
r:0.22222222 g:0.2087912 b:0.25274724
r:0.23333333 g:0.2087912 b:0.25824174
r:0.22222222 g:0.18681318 b:0.24725275
r:0.23333333 g:0.2197802 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
r:0.23333333 g:0.2087912 b:0.24725275
r:0.22222222 g:0.19780219 b:0.24725275
detected bill:
r:0.23333333 g:0.19780219 b:0.25274724
done detecting bill.
bill sample-r:0.90909094 g:0.85 b:0.9361702
bill sample-r:0.8636364 g:0.9 b:0.9361702
bill sample-r:0.8636364 g:0.9 b:0.9574468
bill sample-r:0.90909094 g:0.85 b:0.9574468
bill sample-r:0.95454544 g:0.9 b:0.9361702
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.27058822
bill sample-r:0.22093023 g:0.19999999 b:0.26470587
bill sample-r:0.23255815 g:0.19999999 b:0.27058822
